kategorie,zarizeni,nazev_poskytovatele,adresa_poskytovatele,ico,nazev_zarizeni_poskytovatele,vedouci_zarizeni,adresa_zarizeni_poskytovatele,datum_sluzba_od,forma_poskytovani_soc_sluz,cilova_skupina_klientu,vekova_kategorie,pocet_luzek,provozni_doba,kontakty
odlehčovací služby,Odlehčovací služby (7275287),Centrum sociální a ošetřovatelské pomoci Praha 15,"Parmská 390, Praha 15-Horní Měcholupy, 109 00 Praha 111",68405162,Centrum sociální a ošetřovatelské pomoci Praha 15,Mgr. Monika Válková,"Parmská 390, Praha 15-Horní Měcholupy, 109 00 Praha 111",1.1.1999,pobytové,"osoby s chronickým duševním onemocněním
osoby s chronickým onemocněním
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 8,poskytuje nepřetržitě,"['271 960 984', 'valkova@csop-praha15.cz', 'www.csop-praha15.cz']"
odlehčovací služby,Odlehčovací služby (1807017),Centrum sociální a ošetřovatelské pomoci Praha 5,"náměstí 14. října 802/11, Praha 5-Smíchov, 150 00 Praha 5",70108374,Dům sociálních služeb Praha 5 s odlehčovací pobytovou službou,Mgr. Kateřina Malíková,"Na Neklance 2534/15, Praha 5-Smíchov, 150 00 Praha 5",4.9.2001,pobytové,senioři,starší 60 let,počet lůžek - 27,poskytuje nepřetržitě,"['251551626', 'csop5@volny.cz', 'www.csop5.cz']"
odlehčovací služby,Odlehčovací služby (8128175),"Centrum sociální a ošetřovatelské pomoci v Praze 10, příspěvková organizace","Sámova č.ev. 29/7, Vršovice, 101 00 Praha 101",70873241,Odlehčovací služby Vršovický zámeček,Eva Lexová,"Moskevská 120/21, Praha 10-Vršovice, 101 00 Praha 101",31.5.2014,pobytové,"osoby s chronickým duševním onemocněním
osoby s jiným zdravotním postižením
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 6,poskytuje nepřetržitě,"['732 410 803', 'www.lexova@csop10cz', 'www.csop10.cz']"
odlehčovací služby,Odlehčovací služby (8433749),"Centrum sociální a ošetřovatelské pomoci v Praze 10, příspěvková organizace","Sámova č.ev. 29/7, Vršovice, 101 00 Praha 101",70873241,"Domov pro seniory, Zvonkova",Helena Voráčková,"Zvonková 2902/6, Praha 10-Záběhlice, 106 00 Praha 106",1.12.2010,pobytové,"osoby s chronickým duševním onemocněním
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet klientů - 6,poskytuje nepřetržitě,"['272173033', 'vorackova@csop10.cz', 'www.csop10.cz.']"
odlehčovací služby,Odlehčovací služby (6552077),"Centrum sociální a ošetřovatelské pomoci v Praze 10, příspěvková organizace","Sámova č.ev. 29/7, Vršovice, 101 00 Praha 101",70873241,Odlehčovací služby v Domě sociálních služeb u Vršovického nádraží,Gabriela Olejníková,"U vršovického nádraží 1547/5, Praha 10-Vršovice, 101 00 Praha 101",1.12.2010,pobytové,"osoby s chronickým duševním onemocněním
jedná se o osoby trpící Alzheimerovým onemocněním a jinými typy demence
osoby s jiným zdravotním postižením
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 8,poskytuje nepřetržitě,"['277 011 701', 'novy@csop10.cz', 'www.csop10.cz.']"
odlehčovací služby,Odlehčovací služby (7549142),Centrum sociálních a zdravotních služeb Poděbrady o.p.s.,"nám. T.G.Masaryka 1130/18, Poděbrady III, 290 01 Poděbrady 1",27395286,Odlehčovací služby terénní - Poděbrady,"Radka Székelyová, DiS.","Mírová 1217, Poděbrady III, 290 01 Poděbrady 1",1.1.2000,pobytové,"osoby se zdravotním postižením
rodiny s dítětem/dětmi
senioři",- od 2 let do 18 let (terénní forma v pěstounských rodinách) - od 18 let (terénní forma u zdravotně postižených osob) - od 50 let (terénní a pobytová forma u osob s demencí) - od 60 let (terénní a pobytová forma pro seniory),"počet lůžek - 8
Cílová skupina od 50 let u osob s demencí, senioři od 60 let.",poskytuje nepřetržitě,['neuvedeny']
odlehčovací služby,Odlehčovací služby (9346727),Centrum sociálních služeb Hrabyně,"Hrabyně 202, 747 67 Hrabyně 3",70630551,Centrum sociálních služeb Hrabyně,MUDr. et Mgr. Vladimír Plaček,"Hrabyně 202, 747 67 Hrabyně 3",1.1.2007,pobytové,"osoby s tělesným postižením
a) dospělé osoby s tělesným postižením s trvalým pobytem na území ČR, které využívají kompenzační pomůcky, jsou závislé na pomoci jiné fyzické osoby, a to ve stupni lehké, středně těžké, těžké a úplné závislosti b) senioři s tělesným postižením s trvalým pobytem na území ČR, kteří využívají kompenzační pomůcky, jsou závislí na pomoci jiné fyzické osoby, a to ve stupni lehké, středně těžké, těžké a úplné závislosti Služby Centra sociálních služeb Hrabyně jsou určeny výlučně osobám s tělesným postižením, nikoli osobám, jejichž postižení je kombinováno s dalším typem postižení. Další postižení, onemocnění nebo poruchu a celkový zdravotní stav hodnotí a individuálně posuzuje na základě doručené zdravotní dokumentace příslušný ústavní lékař. Příkladem dalšího postižení může být: ?výrazné smyslové postižení (úplná nebo téměř úplná ztráta zraku, sluchu) ?mentální postižení ?závislost na alkoholu a jiných návykových látkách; závislost na výherních automatech ?psychická porucha, která předpokládá narušování soužití s ostatními (dezorientace při samostatném pohybu, sebevražedné sklony) ?zdravotní postižení vyžadující 24hodinovou zdravotní péči (osoby s tracheostomií, s apnoickými pauzami, s potřebným řízeným dýcháním, s potřebou nitrožilní výživy) ?terminální stadium onemocnění;",od 18ti let výše,počet lůžek - 2,poskytuje nepřetržitě,"['553607800', '553775071', 'info@csshrabyne.cz', 'www.csshrabyne.cz']"
odlehčovací služby,Odlehčovací služby (4798443),"Centrum sociálních služeb Hvozdy, o.p.s.","Masečín 119, 252 07 Štěchovice",29128218,"CSS Hvozdy, o.p.s. - OS",Romana Hromádková,"Masečín 119, 252 07 Štěchovice",1.1.2014,pobytové,"osoby s kombinovaným postižením
osoby s mentálním postižením
Osoby s lehkým a středně těžkým mentálním postižením.
osoby se zdravotním postižením
Je nutná mobilita klienta.","dorost (16 – 18 let)
mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)",počet lůžek - 10,poskytuje nepřetržitě,"['724 110 441', '257 770 258', 'hromadkova@css-hvozdy.cz', 'www.css-hvozdy.cz']"
odlehčovací služby,Odlehčovací služby (1947710),"Centrum sociálních služeb Jablonec nad Nisou, p.o.","Emilie Floriánové 1736/8, Jablonec nad Nisou, 466 01 Jablonec nad Nisou 1",43256503,"Centrum sociálních služeb Jablonec nad Nisou, p.o.",Irena Havrdová,"Novoveská 4505/5, Jablonec nad Nisou, 466 01 Jablonec nad Nisou 1",1.7.2012,pobytové,"osoby s jiným zdravotním postižením
osoby se zdravotním postižením
senioři
Dospělé osoby od 19 do 64 let věku a senioři od 65 let věku se sníženou soběstačností z důvodu věku, zdravotním postižením či jiným zdravotním omezením, jejichž situace vyžaduje pomoc jiné fyzické osoby, kterou jim poskytne a zajistí odlehčovací služba po dobu, kdy jim nemůže poskytnout pomoc pečující osoba.","Dospělé osoby od 19 do 64 let věku, senioři od 65 let věku se sníženou soběstačností, zdravotním postižením či jiným zdravotním omezením.",počet klientů - 4,poskytuje nepřetržitě,"['721 305 129', '777 646 979', 'socialni.os@centrumjablonec.cz', 'vedouci.pece@centrumjablonec.cz', 'www.centrumjablonec.cz']"
odlehčovací služby,Odlehčovací služby (4430625),Centrum sociálních služeb Lukavec,"V Chaloupkách 196, Lukavec, 394 26 Lukavec u Pacova",28125975,Centrum sociálních služeb Lukavec,Petra Jelínková,"V Chaloupkách 196, Lukavec, 394 26 Lukavec u Pacova",1.3.2011,pobytové,"osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 15,poskytuje nepřetržitě,"['774624008', 'centrumlukavec@centrum.cz', 'www.centrumlukavec.cz']"
odlehčovací služby,Odlehčovací služby (8429414),Centrum sociálních služeb Nebušice,"K Šedivce 406, Nebušice, 164 00 Praha 619",70888159,Centrum sociálních služeb Nebušice,Eva Čapková,"K Šedivce 406, Nebušice, 164 00 Praha 619",1.1.2001,pobytové,"osoby s chronickým duševním onemocněním
osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s tělesným postižením
osoby se sluchovým postižením
osoby se zdravotním postižením
osoby se zrakovým postižením
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 4,poskytuje nepřetržitě,"['220 199 412', '220 199 413', 'centrumssn@tiscali.cz', 'www.centrumsocsluzebnebusice.sweb.cz']"
odlehčovací služby,Odlehčovací služby (9326558),"Centrum sociálních služeb Pomněnka, z.ú.","Šumavská 1915/13, Šumperk, 787 01 Šumperk 1",4775627,Odlehčovací služba Pomněnka,"Tereza Valentová, DiS.","Šumavská 1914/11, Šumperk, 787 01 Šumperk 1",1.1.2017,pobytové,"osoby s kombinovaným postižením
Primárně mentální postižení v kombinaci s těžkým tělesným postižením, vadami řeči, poruchami autistického spektra, středně těžkou sluchovou vadou, střední slabozrakostí.
osoby s mentálním postižením",- děti předškolního věku (3 - 7 let) - mladší děti (7 - 10 let) - starší děti (11 - 15 let) - dorost (16 - 18 let) - mladí dospělí (19 - 26 let) - dospělí (27 - 64 let),"počet lůžek - 2
Denní kapacita 2 klienti. Základní činnosti jsou u klientů, kteří mají méně než 18 let, poskytovány nepřetržitě; u klientů, kteří mají 18 let a více, jsou poskytovány u časových intervalech uvedených v rámci provozní doby a dle dohody je možné poskytovat také nepřetžitě. Služba není určena osobám s opakovanými fyzickými agresivními projevy, které by závažným způsobem narušovaly kolektivní soužití služby. Rovněž není určena osobám s těžkým smyslovým postižením – nevidomým, hluchoněmým, hluchoslepým a neslyšícím, kteří vyžadují speciální péči – znakový jazyk, taktilní znakový jazyk, Lormovu abecedu, Braillovo písmo, speciální úpravy interiéru (např. vodící lišty, barevné odlišení překážek, signalizace) nebo speciální kompenzační pomůcky. Není také určená osobám trpícím akutními stavy - infekční onemocnění, stavy po operacích, úrazech apod., kdy není v provozních podmínkách zařízení možné poskytnout uživateli služby v požadované kvalitě. Odlehčovací služba Pomněnka neposkytuje zdravotnické služby, ty musí být zajištěny prostřednictvím zdravotnického zařízení.","pondělí:
od 15:00
úterý:
do 8:00, od 15:00
středa:
do 8:00, od 15:00
čtvrtek:
do 8:00, od 15:00
pátek:
do 8:00, 15:00 - 23:59
sobota:
0:00 - 23:59
neděle:
0:00 - 23:59 - Ubytování poskyt. nepřetržitě.","['583 212 302', 'odlehcovaci.sluzba@csspomnenka.cz', 't.valentova@csspomnenka.cz']"
odlehčovací služby,Odlehčovací služby (3531080),Centrum sociálních služeb Praha 2,"Máchova 1029/14, Praha 2-Vinohrady, 120 00 Praha 2",70880841,Pobytová odlehčovací služba Jana Masaryka,Lenka Kryštofová,"Jana Masaryka 638/34, Praha 2-Vinohrady, 120 00 Praha 2",15.12.2008,pobytové,"osoby se zdravotním postižením
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet klientů - 70,poskytuje nepřetržitě,"['224 254 406', 'info@cssp2.cz', 'http://cssp2.cz']"
odlehčovací služby,Odlehčovací služby (7949731),Centrum sociálních služeb pro osoby se zrakovým postižením v Brně-Chrlicích,"Chrlické náměstí 2/2, Chrlice, 643 00 Brno 43",13693131,Centrum sociálních služeb pro osoby se zrakovým postižením v Brně-Chrlicích,Ing. Miloš Paleček,"Chrlické náměstí 2/2, Chrlice, 643 00 Brno 43",1.1.1991,pobytové,"osoby se zrakovým postižením
Nevidomí, slabozrací, se zbytky zraku a osoby v kombinaci s tělesným, mentálním a sluchovým postižením. U kombinovaných postižení musí být vždy zrakové postižení dominantní.",- od 18 let,počet lůžek - 5,poskytuje nepřetržitě,['neuvedeny']
odlehčovací služby,Odlehčovací služby (5643707),"Centrum sociálních služeb pro seniory Pohoda, příspěvková organizace","Okružní 1779/16, Bruntál, 792 01 Bruntál 1",71294970,"Centrum sociálních služeb pro seniory Pohoda, příspěvková organizace",Bc. Jarmila Šíblová,"Okružní 1779/16, Bruntál, 792 01 Bruntál 1",1.1.2014,pobytové,"osoby s mentálním postižením
osoby s tělesným postižením
osoby se zdravotním postižením
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 2,poskytuje nepřetržitě,"['555 530 821', '554 712 610', 'www.centrum-pohoda.cz']"
odlehčovací služby,Odlehčovací služby (5800283),"Centrum sociálních služeb Prostějov, příspěvková organizace","Lidická 2924/86, Prostějov, 796 01 Prostějov 1",47921293,"Centrum sociálních služeb Prostějov, příspěvková organizace",Mgr. Helena Vránová,"Lidická 3305/86, Prostějov, 796 01 Prostějov 1",1.10.2015,pobytové,"osoby se zdravotním postižením
senioři
Pro obě cílové skupiny pak platí, že službu nemůžeme poskytnout: - osobě, která nespadá do cílové skupiny uživatelů - osobě, jejíž zdravotní stav vyžaduje trvalé léčení ve zdravotnickém zařízení - osobě s akutním infekčním onemocněním - osobě, která žádá o poskytnutí sociální služby, a které poskytovatel vypověděl v době kratší než 6 měsíců před touto žádostí smlouvu o poskytnutí téže sociální služby z důvodu porušování povinností vyplývajících ze smlouvy - z důvodu plné kapacity - osobě, která žádá o poskytnutí sociální služby na dobu delší než 6 měsíců (183 dní) v kalendářním roce - osobě s rizikem útěků ze zařízení (např. z důvodu zmatenosti) - osobě závislé na návykových nebo psychotropních látkách (drogy, alkohol, atd.) - osobě s těžkým a hlubokým stupněm mentálního postižení - osobě s chováním neslučitelným s kolektivním soužitím a společným bydlením (např. osobě nerespektující a nedodržující pravidla organizace, agresivní vůči sobě i svému okolí, osoby vyžadující osobní asistenci)",- mladí dospělí (18 - 26 let) - dospělí (27 - 64 let) - mladší senioři (65 - 80 let) - starší senioři (nad 80 let),"počet lůžek - 6
Služba je určena osobám od 18 let věku se zdravotním postižením a seniorům, o které je jinak pečováno v jejich přirozeném prostředí a o které se momentálně nemůže postarat osoba, která o ně jinak pečuje.",poskytuje nepřetržitě,"['582 321 462', '582 321 463']"
odlehčovací služby,Odlehčovací služby (9217016),"Centrum sociálních služeb, příspěvková organizace","Sejkorova 2723/6, Židenice, 636 00 Brno 36",70887039,Domov pro osoby se zdravotním postižením - TEREZA,Bc. Karel Bernášek,"Terezy Novákové 1947/62a, Řečkovice, 621 00 Brno 21",1.9.2008,pobytové,"osoby s kombinovaným postižením
osoby s mentálním postižením",Sociální služba je poskytována uživatelům od 3 let věku .,počet klientů - 2,poskytuje nepřetržitě,"['549 275 855', '549 275 855', 'css_tereza@centrum.cz', 'www.css.brno.cz']"
odlehčovací služby,Odlehčovací služby (1843992),"Centrum sociálních služeb Staroměstská České Budějovice, příspěvková organizace","Staroměstská 2469/27, České Budějovice 3, 370 04 České Budějovice 4",62537890,"Centrum sociálních služeb Staroměstská České Budějovice, příspěvková organizace",Mgr. Jiří Tetour,"Staroměstská 2469/27, České Budějovice 3, 370 04 České Budějovice 4",1.1.2007,pobytové,"senioři
Senioři se sníženou soběstačností, o které je jinak pečováno v domácím prostředí, kteří splňují podmínku věku s minimální hranicí 65 let.",od 65 let,počet lůžek - 2,poskytuje nepřetržitě,"['387436628', '387001153', 'tetour@staromestska.cz', 'http://www.staromestska.cz']"
